town,street_name
JURONG EAST,TEBAN GDNS RD
GEYLANG,BALAM RD
QUEENSTOWN,C'WEALTH CL
QUEENSTOWN,C'WEALTH DR
TOA PAYOH,LOR 1 TOA PAYOH
BUKIT MERAH,JLN BT MERAH
BUKIT MERAH,HOY FATT RD
GEYLANG,CIRCUIT RD
TOA PAYOH,LOR 4 TOA PAYOH
TOA PAYOH,LOR 5 TOA PAYOH
GEYLANG,MACPHERSON LANE
TOA PAYOH,LOR 2 TOA PAYOH
TOA PAYOH,UPP ALJUNIED LANE
QUEENSTOWN,STIRLING RD
BUKIT MERAH,JLN KLINIK
KALLANG/WHAMPOA,JLN BATU
TOA PAYOH,LOR 7 TOA PAYOH
BUKIT MERAH,JLN RUMAH TINGGI
BUKIT MERAH,HAVELOCK RD
QUEENSTOWN,C'WEALTH CRES
GEYLANG,OLD AIRPORT RD
GEYLANG,JLN DUA
TOA PAYOH,LOR 6 TOA PAYOH
QUEENSTOWN,TANGLIN HALT RD
BUKIT MERAH,LOWER DELTA RD
QUEENSTOWN,MEI LING ST
TOA PAYOH,LOR 3 TOA PAYOH
TOA PAYOH,TOA PAYOH EAST
BUKIT MERAH,JLN BT HO SWEE
BUKIT MERAH,HENDERSON CRES
JURONG WEST,HO CHING RD
BUKIT MERAH,TAMAN HO SWEE
KALLANG/WHAMPOA,JLN BAHAGIA
BUKIT MERAH,BEO CRES
CENTRAL AREA,JLN KUKOH
JURONG WEST,TAO CHING RD
GEYLANG,PAYA LEBAR WAY
KALLANG/WHAMPOA,BENDEMEER RD
TOA PAYOH,TOA PAYOH CTRL
,CHAI CHEE RD
KALLANG/WHAMPOA,WHAMPOA WEST
KALLANG/WHAMPOA,JLN MA'MOR
KALLANG/WHAMPOA,MOULMEIN RD
KALLANG/WHAMPOA,JLN TENTERAM
BUKIT MERAH,BT MERAH VIEW
BUKIT MERAH,LIM LIAK ST
BUKIT MERAH,SENG POH RD
TOA PAYOH,KIM KEAT AVE
BUKIT MERAH,TIONG BAHRU RD
KALLANG/WHAMPOA,LOR LIMAU
QUEENSTOWN,QUEEN'S CL
BISHAN,SIN MING RD
BUKIT MERAH,REDHILL CL
BUKIT MERAH,MOH GUAN TER
TOA PAYOH,TOA PAYOH NTH
BUKIT MERAH,KIM PONG RD
BUKIT MERAH,INDUS RD
BUKIT MERAH,KIM CHENG ST
,CHAI CHEE AVE
BUKIT TIMAH,FARRER RD
CENTRAL AREA,CHIN SWEE RD
JURONG WEST,BOON LAY PL
KALLANG/WHAMPOA,GEYLANG BAHRU
KALLANG/WHAMPOA,UPP BOON KENG RD
KALLANG/WHAMPOA,WHAMPOA STH
KALLANG/WHAMPOA,WHAMPOA DR
QUEENSTOWN,HOLLAND AVE
QUEENSTOWN,QUEENSWAY
CENTRAL AREA,SELEGIE RD
QUEENSTOWN,HOLLAND CL
WOODLANDS,MARSILING DR
BUKIT TIMAH,QUEEN'S RD
JURONG WEST,YUAN CHING RD
KALLANG/WHAMPOA,KALLANG BAHRU
CENTRAL AREA,SAGO LANE
KALLANG/WHAMPOA,BOON KENG RD
BUKIT MERAH,ZION RD
,NEW UPP CHANGI RD
CENTRAL AREA,UPP CROSS ST
GEYLANG,SIMS DR
HOUGANG,HOUGANG AVE 3
JURONG WEST,BOON LAY AVE
MARINE PARADE,MARINE TER
MARINE PARADE,MARINE CRES
QUEENSTOWN,HOLLAND DR
QUEENSTOWN,DOVER RD
TOA PAYOH,LOR 8 TOA PAYOH
BUKIT MERAH,TELOK BLANGAH CRES
BUKIT MERAH,KIM TIAN RD
GEYLANG,ALJUNIED CRES
KALLANG/WHAMPOA,BEACH RD
KALLANG/WHAMPOA,NTH BRIDGE RD
ANG MO KIO,ANG MO KIO AVE 1
,BEDOK STH RD
,BEDOK STH AVE 1
,BEDOK STH AVE 2
BUKIT MERAH,TELOK BLANGAH HTS
GEYLANG,HAIG RD
KALLANG/WHAMPOA,GLOUCESTER RD
QUEENSTOWN,DOVER CRES
QUEENSTOWN,GHIM MOH RD
ANG MO KIO,ANG MO KIO AVE 3
BUKIT MERAH,TELOK BLANGAH WAY
BUKIT MERAH,TELOK BLANGAH RISE
JURONG WEST,BOON LAY DR
MARINE PARADE,MARINE DR
WOODLANDS,MARSILING LANE
BUKIT MERAH,TELOK BLANGAH DR
BUKIT TIMAH,EMPRESS RD
KALLANG/WHAMPOA,DORSET RD
BUKIT MERAH,DEPOT RD
